sn,zhel,zcmb,st,est,Mmax,eMmax,BV,eBV,t0,EBVmw,eEBVmw,covMs,covBVs,covBV_M,host,dist,edist,sample
SN2012ij,0.01099,0.012107,0.536,0.008,15.318,0.011,0.2569999999999997,0.016278820596099707,-4.3,0.0235,0.0024,2.465e-05,-3.142000000000001e-05,0.0,N/A,-1.0,-1.0,CSPII
SN2013ay,0.0157167,0.0156526,0.495,0.019,15.776,0.034,0.5299999999999994,0.08348652585896721,7.5,0.0622,0.0062,-3.878e-05,-5.4080000000000004e-05,0.0,N/A,-1.0,-1.0,CSPII
SN2013bc,0.02245,0.023528,0.482,0.022,17.327,0.029,0.7510000000000012,0.0658027355054484,0.8,0.0407,0.0041,2.678e-06,-8.650999999999999e-06,0.0,N/A,-1.0,-1.0,CSPII
SN2014dn,0.0221733,0.0221408,0.466,0.005,16.898,0.007,0.6529999999999987,0.01,-0.3,0.0161,0.0016,5.989e-06,-3.5830000000000003e-06,0.0,N/A,-1.0,-1.0,CSPII
CSP13aao,0.0613575,0.0616022,0.696,0.049,18.136,0.044,0.125,0.08683893136145793,0.8,0.0444,0.0044,-0.0003538,-0.00030082000000000004,0.0,N/A,-1.0,-1.0,CSPII
SN2008hs,0.017349,0.0166411,0.611,0.006,16.04,0.015,0.07499999999999929,0.02441311123146741,-10.6,0.0497,0.005,1.89e-05,-1.0900000000000014e-06,0.0,NGC0910,34.459,0.093,N/A
SN2010Y,0.0109,0.0112644,0.658,0.006,15.015,0.012,0.02200000000000024,0.016401219466856725,-8.4,0.0117,0.0012,1.916e-05,-3.3300000000000003e-06,0.0,NGC3392,33.861,0.088,N/A
SN2016ajf,0.0203,0.0197686,0.488,0.015,16.385,0.019,0.5560000000000009,0.07507329751649384,-3.9,0.1417,0.0142,0.0001272,4.500000000000001e-06,0.0,NGC1278,34.202,0.106,N/A
SN2006mr,0.0058667,0.00551,0.335,0.004,14.269,0.028,0.7310000000000016,0.02758622844826744,-4.4,0.0179,0.0018,3.874e-05,-1.0749999999999999e-05,0.0,N/A,31.2,0.093,CSPI
SN2007on,0.00649,0.0061833,0.588,0.003,12.968,0.011,0.11599999999999966,0.012041594578792296,-8.4,0.0098,0.001,1.53e-06,1.651e-06,0.0,N/A,31.453,0.084,CSPI
SN2008R,0.0134933,0.0128867,0.633,0.006,15.166,0.009,0.11999999999999922,0.01063014581273465,-1.3,0.0618,0.0062,4.576e-06,-7.641e-06,0.0,NGC1200,33.66,0.08,N/A
SN2011iv,0.0,0.0,0.699,0.007,12.462,0.009,0.0,0.0,0.0,0.0,0.0,1.394e-05,0.0,0.0,,31.453,0.084,
PTF13ebh,0.01326,0.012484,0.636,0.004,14.916,0.007,0.12299999999999933,0.009219544457292887,-13.0,0.0668,0.0067,4.465e-06,-1.099e-06,0.0,NGC0890,33.296,0.081,N/A
CSP15aae,0.0161833,0.0169733,0.505,0.004,16.224,0.007,0.4540000000000006,0.01063014581273465,-6.7,0.0226,0.0023,9.618e-06,-7.608e-06,0.0,NGC5490,34.267,0.08,N/A
SNhunt281,0.0040667,0.004706,0.693,0.003,13.673,0.005,0.04499999999999993,0.007071067811865475,-12.0,0.0454,0.0045,8e-07,-1.6239999999999996e-06,0.0,N/A,32.369,0.078,CSPII
